Code Name,Name,Score,Users
1535F,String Distance,not graded,46
1535E,Gold Transfer,not graded,605
1535D,Playoff Tournament,not graded,2417
1535C,Unstable String,not graded,5711
1535B,Array Reodering,not graded,14060
1535A,Fair Playoff,not graded,18331
1531E3,Сортировка слиянием,not graded,247
1531E2,Сортировка слиянием,not graded,316
1531E1,Сортировка слиянием,not graded,339
1531D,Редактируем Зингер | color,not graded,318
1531C,Симметричный амфитеатр,not graded,590
1531B2,Мониторинг,not graded,667
1531B1,Мониторинг,not graded,936
1531A,Зингер | color,not graded,1098
1529B,Sifid and Strange Subsequences,1100,13841
1529A,Eshag Loves Big Arrays,800,20524
1528F,AmShZ Farm,3300,79
1528E,Mashtali and Hagh Trees,2900,206
1528D,"It's a bird! No, it's a plane! No, it's AaParsa!",2500,695
1528C,Trees of Tranquillity,2300,1297
1528B,Kavi on Pairing Duty,1700,5044
1528A,Parsa's Humongous Tree,1600,7447
1527E,Partition Game,2500,808
1527D,MEX Tree,2400,940
1527C,Sequence Pair Weight,1600,7833
1527B2,Palindrome Game (hard version),1900,4892
1527B1,Palindrome Game (easy version),1200,13646
1527A,And Then There Were K,800,19703
1526F,Median Queries,3000,78
1526E,Oolimry and Suffix Array,2400,468
1526D,Kill Anton,2200,1445
1526C2,Potions (Hard Version),1600,8582
1526C1,Potions (Easy Version),1500,9478
1526B,I Hate 1111,1400,12022
1526A,Mean Inequality,800,16893
1525F,Goblins And Gnomes,2800,152
1525E,Assimilation IV,2100,971
1525D,Armchairs,1800,5351
1525C,Robot Collisions,2000,2783
1525B,Permutation Sort,900,15572
1525A,Potion-making,800,18004
1523H,Hopping Around the Array,3500,41
1523G,Try Booking,3200,133
1523F,Favorite Game,3300,121
1523E,Crypto Lights,2600,659
1523D,Love-Hate,2400,1133
1523C,Compression and Expansion,1600,5527
1523B,Lord of the Values,1100,8216
1523A,Game of Life,800,10291
1521E,Nastia and a Beautiful Matrix,2700,383
1521D,Nastia Plays with a Tree,2500,1012
1521C,Nastia and a Hidden Permutation,2000,3251
1521B,Nastia and a Good Array,1300,12300
1521A,Nastia and Nearly Good Numbers,1000,18742
1520G,To Go Or Not To Go?,2200,2107
1520F2,Guess the K-th Zero (Hard version),2200,1956
1520F1,Guess the K-th Zero (Easy version),1600,6022
1520E,Arranging The Sheep,1400,10570
1520D,Same Differences,1200,16637
1520C,Not Adjacent Matrix,1000,17906
1520B,Ordinary Numbers,800,22864
1520A,Do Not Be Distracted!,800,26443
1519F,Chests and Keys,3200,137
1519E,Off by One,2700,525
1519D,Maximum Sum of Products,1600,8019
1519C,Berland Regional,1400,9742
1519B,The Cake Is a Lie,800,19105
1519A,Red and Blue Beans,800,20109
1517H,Fly Around the World,3500,32
1517G,Starry Night Camping,3300,163
1517F,Reunion,3200,166
1517E,Group Photo,2500,699
1517D,Explorer Space,1800,4772
1517C,Fillomino 2,1400,8515
1517B,Morning Jogging,1200,9772
1517A,Sum of 2050,800,18265
1516E,Baby Ehab Plays with Permutations,2500,507
1516D,Cut,2100,2356
1516C,Baby Ehab Partitions Again,1700,7030
1516B,AGAGA XOOORRR,1500,10455
1516A,Tit for Tat,800,17685
1515I,Phoenix and Diamonds,3400,76
1515H,Phoenix and Bits,3500,95
1515G,Phoenix and Odometers,2700,512
1515F,Phoenix and Earthquake,2600,927
1515E,Phoenix and Computers,2200,1925
1515D,Phoenix and Socks,1500,7308
1515C,Phoenix and Towers,1400,9751
1515B,Phoenix and Puzzle,1000,14574
1515A,Phoenix and Gold,800,16059
1514E,Baby Ehab's Hyper Apartment,2700,298
1514D,Cut and Stick,2000,2745
1514C,Product 1 Modulo N,1600,7824
1514B,"AND 0, Sum Big",1200,12271
1514A,Perfectly Imperfect Array,800,17679
1513F,Swapping Problem,2500,570
1513E,Cost Equilibrium,2300,960
1513D,GCD and MST,2000,2810
1513C,Add One,1600,7218
1513B,AND Sequences,1400,8235
1513A,Array and Peaks,800,15560
1512G,Short Task,1700,4162
1512F,Education,1900,3567
1512E,Permutation by Sum,1600,5891
1512D,Corrupted Array,1200,11748
1512C,A-B Palindrome,1200,11826
1512B,Almost Rectangle,800,18658
